Channel,Transmitter_Adress,PHY,Frame_Type,Frame_Subtype
11,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
112,e2:55:6d:4b:a6:8f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
112,e2:55:6d:4b:a6:81,5,0,8
112,e2:55:6d:4b:a6:88,5,0,8
112,e2:55:6d:4b:a6:8f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
112,e2:55:6d:4b:a6:81,5,0,8
112,e2:55:6d:4b:a6:88,5,0,8
7,14:60:80:65:66:b1,4,0,8
8,14:60:80:65:66:b1,4,0,8
8,5a:60:80:65:66:b2,4,0,8
8,14:60:80:65:66:b1,4,0,8
8,5a:60:80:65:66:b2,4,0,8
8,14:60:80:65:66:b1,4,0,8
8,5a:60:80:65:66:b2,4,0,8
10,8c:e0:81:66:e1:8c,4,0,8
10,52:e0:81:66:e1:8d,4,0,8
10,8c:e0:81:66:e1:8c,4,2,0
10,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
12,88:d2:74:b6:dc:9e,4,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
112,e2:55:6d:4b:a6:81,5,0,8
112,e2:55:6d:4b:a6:88,5,0,8
112,e2:55:6d:4b:a6:8f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
112,e2:55:6d:4b:a6:81,5,0,8
112,e2:55:6d:4b:a6:88,5,0,8
8,14:60:80:65:66:b1,4,0,8
8,5a:60:80:65:66:b2,4,0,8
8,14:60:80:65:66:b1,4,0,8
8,5a:60:80:65:66:b2,4,0,8
10,8c:e0:81:66:e1:8c,4,0,8
10,52:e0:81:66:e1:8d,4,0,8
10,88:d2:74:b6:dc:9e,4,0,8
10,8c:e0:81:66:e1:8c,4,0,8
10,88:d2:74:b6:dc:9e,4,0,8
10,8c:e0:81:66:e1:8c,4,0,8
10,52:e0:81:66:e1:8d,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
11,88:d2:74:b6:dc:9e,4,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
100,88:d2:74:b6:dc:9f,5,0,8
112,e2:55:6d:4b:a6:8f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
112,e2:55:6d:4b:a6:81,5,0,8
112,e2:55:6d:4b:a6:88,5,0,8
112,e2:55:6d:4b:a6:8f,5,0,8
112,e2:55:6d:4b:a6:80,5,0,8
