Channel,is_5Ghz,SSID,Transmitter_Adress,Channel_Width,PHY_Type
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
5,0,TMNL-138081,e4:fb:5d:13:80:88,20,7
6,0,ZiggoA48C395,ac:22:05:a1:6d:10,20,7
11,0,DYMOND WR03 2.4G,00:e0:4c:67:30:77,40,7
11,0,UPC245169580,14:49:e0:fd:4e:78,20,7
13,0,draadloos8,54:fa:3e:b4:a7:1f,20,7
100,1,Ziggo2A66EB4,90:5c:44:49:f7:26,80,8
1,0,tele2-06F4,d8:b6:b7:7a:06:f4,20,7
1,0,HZN244106383,1c:3a:de:d0:cb:09,20,7
1,0,H369A2098CA,28:ff:3e:20:98:ca,20,7
1,0,UPC240810943,5c:a3:9d:7e:e2:08,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
1,0,H369A59CABD,00:4a:77:59:ca:bd,20,7
2,0,VGV7519E8DD57,88:03:55:e8:dd:56,20,7
4,0,H369A2FF422,28:ff:3e:2f:f4:22,20,7
7,0,TokoMacan,54:25:ea:c6:38:60,20,7
9,0,HZN244862772,1c:3a:de:ed:32:17,20,7
13,0,HZN241603198,1c:3a:de:84:b8:6e,20,7
36,1,UPC507526185,5c:a3:9d:c7:85:c0,40,7
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
100,1,Ziggo1E2FB8F,dc:53:7c:28:eb:0c,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
52,1,H369A59CABD,00:4a:77:59:ca:be,80,8
