Transmitter_Adress,Channel,PHY,Frame_Type,Frame_Subtype
00:4a:77:59:ca:be,52,5,2,0
00:4a:77:59:ca:be,52,8,2,8
00:4a:77:59:ca:be,52,8,2,8
00:4a:77:59:ca:be,52,5,0,8
00:4a:77:59:ca:be,52,5,0,8
00:4a:77:59:ca:bd,1,4,0,5
d8:b6:b7:7a:06:f4,1,4,0,5
e8:94:f6:e2:76:5d,1,4,0,5
8c:04:ff:14:cf:cc,1,4,0,5
e4:fb:5d:13:80:88,5,4,0,8
ac:22:05:a1:6d:10,6,4,0,8
54:25:ea:c6:38:60,7,4,0,5
00:e0:4c:67:30:77,11,4,0,8
14:49:e0:fd:4e:78,11,4,0,8
54:fa:3e:b4:a7:1f,13,4,0,8
00:4a:77:59:ca:be,52,5,0,5
00:4a:77:59:ca:be,52,8,2,8
90:5c:44:49:f7:26,100,5,0,8
00:4a:77:59:ca:be,52,8,2,8
00:4a:77:59:ca:be,52,8,2,8
00:4a:77:59:ca:bd,1,4,0,11
00:4a:77:59:ca:bd,1,4,0,3
00:4a:77:59:ca:bd,1,4,0,13
00:4a:77:59:ca:bd,1,4,2,8
00:4a:77:59:ca:bd,1,4,1,8
00:4a:77:59:ca:bd,1,4,2,8
d8:b6:b7:7a:06:f4,1,4,0,8
1c:3a:de:d0:cb:09,1,4,0,8
28:ff:3e:20:98:ca,1,4,0,8
5c:a3:9d:7e:e2:08,1,4,0,8
00:4a:77:59:ca:bd,1,4,0,8
00:4a:77:59:ca:bd,1,4,0,8
00:4a:77:59:ca:bd,1,4,0,8
00:4a:77:59:ca:bd,1,4,2,8
00:4a:77:59:ca:bd,1,4,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
00:4a:77:59:ca:bd,1,7,2,8
