Channel,PHY
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,7
5,6
5,7
5,7
5,6
5,6
5,6
5,6
5,7
5,6
5,7
5,6
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,6
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
9,6
9,6
9,6
9,4
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,4
9,6
9,6
9,6
9,6
9,6
9,4
9,6
9,4
9,6
9,6
9,6
9,6
10,4
10,4
10,4
10,4
10,4
10,4
11,4
12,4
12,4
12,4
12,4
12,4
13,6
13,6
13,6
13,6
13,6
13,6
13,6
13,7
13,6
13,6
13,6
13,7
13,6
13,6
13,7
13,6
13,6
13,6
13,7
13,7
13,6
13,6
13,7
13,6
13,6
13,7
13,6
13,6
13,6
13,6
13,6
13,6
13,6
13,7
13,7
13,7
