Channel,is_5Ghz,SSID,Transmitter_Adress,Channel_Width,PHY_Type
5,0,tudelft-dastud,00:a3:8e:a4:e9:92,20,7
5,0,eduroam,00:a3:8e:6e:87:c0,20,7
5,0,TUvisitor,00:a3:8e:a4:e3:51,20,7
9,0,eduroam,00:a3:8e:a4:e8:00,20,7
9,0,eduroam,00:a3:8e:a4:e3:30,20,7
9,0,tudelft-dastud,00:a3:8e:a4:e8:02,20,7
9,0,tudelft-dastud,00:a3:8e:a4:e3:32,20,7
9,0,TUvisitor,00:a3:8e:a4:e8:01,20,7
9,0,TUvisitor,00:a3:8e:a4:e3:31,20,7
9,0,eduroam,00:a3:8e:a4:e8:00,20,7
9,0,eduroam,00:a3:8e:a4:e3:30,20,7
13,0,TUvisitor,00:a3:8e:6c:65:61,20,7
13,0,eduroam,00:a3:8e:8f:b3:b0,20,7
13,0,eduroam,00:a3:8e:6c:65:60,20,7
13,0,tudelft-dastud,00:a3:8e:8f:b3:b2,20,7
13,0,tudelft-dastud,00:a3:8e:6c:65:62,20,7
13,0,TUvisitor,00:a3:8e:8f:b3:b1,20,7
13,0,TUvisitor,00:a3:8e:6c:65:61,20,7
13,0,eduroam,00:a3:8e:8f:b3:b0,20,7
13,0,tudelft-dastud,00:a3:8e:8f:b3:b2,20,7
13,0,tudelft-dastud,00:a3:8e:6c:65:62,20,7
13,0,TUvisitor,00:a3:8e:8f:b3:b1,20,7
13,0,TUvisitor,00:a3:8e:6c:65:61,20,7
44,1,TUvisitor,00:a3:8e:a4:e3:5e,20 or 40,8
44,1,eduroam,00:a3:8e:a4:e3:5f,20 or 40,8
44,1,tudelft-dastud,00:a3:8e:a4:e3:5d,20 or 40,8
44,1,TUvisitor,00:a3:8e:a4:e3:5e,20 or 40,8
48,1,TUvisitor,00:a3:8e:6c:65:6e,20 or 40,8
48,1,eduroam,00:a3:8e:6c:65:6f,20 or 40,8
48,1,tudelft-dastud,00:a3:8e:6c:65:6d,20 or 40,8
48,1,TUvisitor,00:a3:8e:6c:65:6e,20 or 40,8
104,1,eduroam,00:a3:8e:a4:e8:0f,20 or 40,8
104,1,tudelft-dastud,00:a3:8e:a4:e8:0d,20 or 40,8
104,1,TUvisitor,00:a3:8e:a4:e8:0e,20 or 40,8
104,1,eduroam,00:a3:8e:a4:e8:0f,20 or 40,8
112,1,TUvisitor,00:a3:8e:6c:69:ee,20 or 40,8
112,1,eduroam,00:a3:8e:6c:69:ef,20 or 40,8
112,1,tudelft-dastud,00:a3:8e:6c:69:ed,20 or 40,8
