Transmitter_Adress,PHY_Type
00:a3:8e:a4:e9:92,7
00:a3:8e:6e:87:c0,7
00:a3:8e:a4:e3:51,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:02,7
00:a3:8e:a4:e3:32,7
00:a3:8e:a4:e8:01,7
00:a3:8e:a4:e3:31,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:a4:e3:5e,8
00:a3:8e:a4:e3:5f,8
00:a3:8e:a4:e3:5d,8
00:a3:8e:a4:e3:5e,8
00:a3:8e:6c:65:6e,8
00:a3:8e:6c:65:6f,8
00:a3:8e:6c:65:6d,8
00:a3:8e:6c:65:6e,8
00:a3:8e:a4:e8:0f,8
00:a3:8e:a4:e8:0d,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:a4:e8:0f,8
00:a3:8e:6c:69:ee,8
00:a3:8e:6c:69:ef,8
00:a3:8e:6c:69:ed,8
00:a3:8e:6c:69:ee,8
00:a3:8e:8f:b3:be,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:8f:b3:bd,8
00:a3:8e:a4:e9:9f,8
00:a3:8e:a4:e9:9d,8
00:a3:8e:a4:e9:9e,8
00:a3:8e:6c:69:71,7
78:54:2e:fd:e3:80,7
00:a3:8e:6c:69:70,7
00:a3:8e:6c:69:72,7
00:a3:8e:6c:69:71,7
00:a3:8e:a4:e3:50,7
00:a3:8e:a4:e3:52,7
00:a3:8e:a4:e9:92,7
00:a3:8e:a4:e3:51,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:02,7
00:a3:8e:a4:e3:32,7
00:a3:8e:a4:e8:01,7
00:a3:8e:a4:e3:31,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:02,7
00:0c:f6:d8:a1:e8,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:a4:e3:5f,8
00:a3:8e:a4:e3:5d,8
00:a3:8e:a4:e3:5e,8
00:a3:8e:6c:65:6f,8
00:a3:8e:6c:65:6d,8
00:a3:8e:6c:65:6e,8
00:a3:8e:a4:e3:3f,8
00:a3:8e:a4:e3:3d,8
00:a3:8e:a4:e3:3e,8
00:a3:8e:a4:e3:3f,8
2c:33:11:1a:3b:5f,8
2c:33:11:1a:3b:5d,8
2c:33:11:1a:3b:5e,8
00:a3:8e:6c:69:7d,8
00:a3:8e:a4:e8:0d,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:a4:e8:0f,8
00:a3:8e:6c:69:ef,8
00:a3:8e:6c:69:ed,8
00:a3:8e:6c:69:ee,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:8f:b3:bd,8
00:a3:8e:8f:b3:be,8
00:a3:8e:a4:e9:9f,8
00:a3:8e:a4:e9:9d,8
00:a3:8e:6c:69:70,7
00:a3:8e:6c:69:72,7
00:a3:8e:6c:69:71,7
00:a3:8e:a4:e3:50,7
00:a3:8e:a4:e9:90,7
00:a3:8e:a4:e3:52,7
00:a3:8e:a4:e9:92,7
00:a3:8e:6e:87:c0,7
00:a3:8e:a4:e3:51,7
00:a3:8e:a4:e9:91,7
00:a3:8e:6e:87:c2,7
00:a3:8e:6e:87:c1,7
00:a3:8e:a4:e3:50,7
00:a3:8e:a4:e3:32,7
00:a3:8e:a4:e8:01,7
00:a3:8e:a4:e3:31,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:02,7
00:a3:8e:a4:e3:32,7
00:a3:8e:a4:e8:01,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:61,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:62,7
00:a3:8e:6c:65:61,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:a4:e3:5f,8
00:a3:8e:a4:e3:5d,8
00:a3:8e:a4:e3:5e,8
00:a3:8e:a4:e3:5f,8
00:a3:8e:6c:65:6f,8
00:a3:8e:6c:65:6d,8
00:a3:8e:6c:65:6e,8
00:a3:8e:6c:65:6f,8
00:a3:8e:a4:e3:3d,8
00:a3:8e:a4:e3:3e,8
00:a3:8e:a4:e3:3f,8
00:a3:8e:a4:e3:3d,8
2c:33:11:1a:3b:5f,8
00:a3:8e:6c:69:7f,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:a4:e8:0f,8
00:a3:8e:a4:e8:0d,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:6c:69:ef,8
00:a3:8e:6c:69:ed,8
00:a3:8e:6c:69:ee,8
00:a3:8e:6c:69:ef,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:8f:b3:bd,8
00:a3:8e:8f:b3:be,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:a4:e9:9f,8
00:a3:8e:a4:e9:9d,8
00:a3:8e:a4:e9:9e,8
00:a3:8e:a4:e9:9f,8
00:a3:8e:6c:69:70,7
00:a3:8e:6c:69:72,7
00:a3:8e:6c:69:71,7
00:a3:8e:6c:69:70,7
00:a3:8e:a4:e3:52,7
00:a3:8e:a4:e9:92,7
00:a3:8e:6e:87:c0,7
00:a3:8e:a4:e3:51,7
00:a3:8e:6e:87:c2,7
00:a3:8e:6e:87:c1,7
00:a3:8e:a4:e3:50,7
00:a3:8e:a4:e9:90,7
00:a3:8e:a4:e3:52,7
00:a3:8e:a4:e3:31,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:02,7
00:a3:8e:a4:e3:32,7
00:a3:8e:a4:e8:01,7
00:a3:8e:a4:e3:31,7
00:a3:8e:6c:65:62,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:a4:e3:5d,8
00:a3:8e:a4:e3:5e,8
00:a3:8e:a4:e3:5f,8
00:a3:8e:a4:e3:5d,8
00:a3:8e:6c:65:6f,8
00:a3:8e:6c:65:6d,8
00:a3:8e:6c:65:6e,8
00:a3:8e:6c:65:6f,8
00:a3:8e:6c:e8:df,8
00:a3:8e:6c:e8:dd,8
00:a3:8e:a4:e3:3e,8
00:a3:8e:a4:e3:3f,8
00:a3:8e:a4:e3:3d,8
00:a3:8e:a4:e3:3e,8
2c:33:11:1a:3b:5d,8
2c:33:11:1a:3b:5e,8
2c:33:11:1a:3b:5f,8
2c:33:11:1a:3b:5d,8
00:a3:8e:6c:69:7e,8
00:a3:8e:6c:69:7f,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:a4:e8:0f,8
00:a3:8e:a4:e8:0d,8
00:a3:8e:a4:e8:0e,8
00:a3:8e:6c:69:ef,8
00:a3:8e:6c:69:ed,8
00:a3:8e:6c:69:ee,8
00:a3:8e:6c:69:ef,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:8f:b3:bd,8
00:a3:8e:8f:b3:be,8
00:a3:8e:8f:b3:bf,8
00:a3:8e:a4:e9:9e,8
00:a3:8e:a4:e9:9f,8
00:a3:8e:6c:69:70,7
00:a3:8e:6c:69:72,7
78:54:2e:fd:e3:80,7
00:a3:8e:6c:69:71,7
78:54:2e:fd:e3:80,7
00:a3:8e:6c:69:70,7
00:a3:8e:a4:e3:52,7
00:a3:8e:a4:e3:51,7
00:a3:8e:a4:e9:90,7
00:a3:8e:a4:e3:52,7
52:f0:2f:0e:27:0c,7
00:a3:8e:a4:e8:00,7
00:a3:8e:a4:e3:30,7
00:a3:8e:a4:e8:01,7
00:a3:8e:a4:e3:31,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:6c:65:61,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:69:e0,7
00:a3:8e:6c:65:62,7
00:a3:8e:8f:b3:b1,7
00:a3:8e:8f:b3:b0,7
00:a3:8e:6c:65:60,7
00:a3:8e:8f:b3:b2,7
00:a3:8e:6c:65:62,7
